customer_id,username,name,gender,email,occupation,birthdate,address,salary,zip
1,robin48,Jesse Spencer,M,udalton@yahoo.com,"Pharmacist, community",1975-09-24,"10305 Scott River Suite 976New Rachelside, SD 17002",153032.45,5767
2,cynthiajackson,Savannah Daniel,F,walkerchristopher@yahoo.com,Set designer,1934-09-28,"70884 Andrew PlazaEast Jillfurt, OH 57506",302173.27,99803
3,ydurham,Alexander Davis,M,annlindsey@yahoo.com,Plant breeder/geneticist,1975-11-09,"0365 Carrie PointJoelmouth, CA 31449",60425.51,57477
4,murphymichael,Patrick Cortez,M,freeves@hotmail.com,"Scientist, audiological",1911-01-20,"9864 Brian Walk Suite 777Tylerville, AZ 70607",314560.53,90013
5,brittany85,Robert Ballard,M,donald73@hotmail.com,Industrial buyer,2010-08-12,"PSC 2637, Box 2665APO AE 27740",278705.08,3751
6,kevin51,Gary Watkins DDS,M,jay41@gmail.com,Air traffic controller,1941-03-29,"2983 Stewart CrestEast Alex, MS 57226",355893.96,1523
7,thomasanderson,Elizabeth Harrison,F,cwalsh@hotmail.com,"Pharmacist, community",1926-03-31,"369 Jillian Circles Suite 502Kathrynville, ND 02865",335516.33,56321
8,fcole,Thomas Simon,M,wyattshannon@hotmail.com,Animator,1941-09-11,"36165 Amanda CrescentNorth Stephenville, NM 62784",403219.17,48427
9,wbennett,Thomas Rivers,M,ggates@yahoo.com,"Scientist, audiological",1936-07-20,"8254 Jennifer PointSouth Thomasport, DE 10871",217038.88,54727
10,danielkent,Mariah Rojas,F,dawnruiz@gmail.com,"Exhibitions officer, museum/gallery",1957-02-20,"189 Bryan MountainsKevinmouth, LA 67398",229249.46,31750
11,joneskristin,Dale Williams,M,ulee@yahoo.com,Best boy,1924-11-27,"79823 Jonathan Overpass Suite 542Port Jessica, CT 89724",159978.86,80263
12,sbrown,Mrs. Shelley Lambert,F,todddunn@gmail.com,Commercial/residential surveyor,1969-03-20,"88079 Brian WallMariamouth, IN 02983",196462.29,23356
